ProductKey_A,ProductKey_B,CoOccurrence,SupportA,SupportB,SupportAB,Lift,ProductA,ProductB
181,272,8,0.0121,0.0144,0.0011,6.29,Pallet Wireless Chew Toy Pack,Fjord Portable Patio Heater
192,276,8,0.0139,0.0127,0.0011,6.26,Alto HeavyDuty Watch Band,Roverly Wireless Sneakers
19,189,8,0.0138,0.0132,0.0011,6.06,Meadow Smart Smart Plug,Kestrel Essential Watch Band
203,331,8,0.0131,0.014,0.0011,6.0,Meadow Smart Smart Watch,Meadow Portable Glue Gun Kit
58,90,9,0.0158,0.0132,0.00124,5.93,Verve Advanced Sneakers,Halcyon Smart Dive Watch
332,340,8,0.0127,0.0147,0.0011,5.91,Orin Everyday High Chair,Fjord UltraLight Bookshelf
184,379,9,0.0157,0.0135,0.00124,5.86,Trailhead Wireless Phone Mount,Vireo Essential Microwave
21,245,10,0.0161,0.0146,0.00138,5.86,Verve Pro Packing Cubes,Kestrel Compact Seat Cover Set
109,163,9,0.0147,0.0146,0.00124,5.77,Alto Classic Notebook Pack,Milbrook Classic Notebook Pack
50,176,8,0.0135,0.0143,0.0011,5.71,Meadow Advanced Gaming Chair,Cinder Signature Camping Tent
117,202,6,0.012,0.0122,0.00083,5.63,Vireo Classic Cat Tree,Orin Signature Humidifier
74,75,9,0.0135,0.0164,0.00124,5.61,Cinder Deluxe Stud Earrings,Trailhead Advanced Camera Bag
8,254,7,0.0127,0.0136,0.00096,5.59,Lumen Advanced Blender,Orin Deluxe Power Bank
2,337,11,0.0177,0.0153,0.00151,5.58,Roverly UltraLight LED Work Light,Halcyon Advanced Blender
172,252,8,0.0146,0.0136,0.0011,5.54,Sundial HeavyDuty Activewear Set,Fjord Pro BBQ Grill
135,247,8,0.0129,0.0155,0.0011,5.47,Pallet Pro Webcam,Pallet Classic Jump Starter
241,304,10,0.0164,0.0154,0.00138,5.45,Verve EcoFriendly Camera Bag,Northline Signature Neck Pillow
71,185,8,0.0155,0.0131,0.0011,5.42,Kestrel Classic Puzzle 1000pc,Roverly HeavyDuty Baby Monitor
97,417,7,0.0131,0.0136,0.00096,5.41,Alto Portable Running Shoes,Milbrook Portable Digital Thermometer
94,207,8,0.0144,0.0142,0.0011,5.38,Milbrook HeavyDuty Stroller,Kestrel Wireless Travel Backpack
131,219,8,0.014,0.0147,0.0011,5.33,Halcyon UltraLight Rice Cooker,Fjord Everyday Nappy Bag
117,306,6,0.012,0.0131,0.00083,5.28,Vireo Classic Cat Tree,Halcyon Pro Puzzle Book
112,244,7,0.0127,0.0144,0.00096,5.27,Meadow UltraLight Dash Cam,Orin Smart Sewing Kit
40,170,9,0.0154,0.0153,0.00124,5.26,Kestrel UltraLight Cordless Drill,Roverly Signature Cordless Drill
250,266,9,0.015,0.0158,0.00124,5.22,Northline Smart Slippers,Vireo Smart Slow Cooker
64,105,9,0.0154,0.0154,0.00124,5.22,Northline Premium Journal,Trailhead Deluxe Cat Tree
199,241,7,0.0113,0.0164,0.00096,5.21,Sundial Portable Kids Watch,Verve EcoFriendly Camera Bag
343,345,6,0.0136,0.0117,0.00083,5.18,Lumen Wireless Plush Toy,Sundial EcoFriendly Paint Sprayer
71,82,9,0.0155,0.0154,0.00124,5.17,Kestrel Classic Puzzle 1000pc,Basecamp Deluxe Skincare Set
49,202,7,0.0153,0.0122,0.00096,5.15,Orin Premium RC Car,Orin Signature Humidifier
20,101,9,0.0172,0.014,0.00124,5.13,Milbrook Deluxe Mouse Pad XL,Wrenfield Pro Chew Toy Pack
48,250,8,0.0143,0.015,0.0011,5.13,Meadow Advanced Tea Sampler,Northline Smart Slippers
111,255,7,0.0135,0.014,0.00096,5.09,Basecamp UltraLight Sandals,Halcyon EcoFriendly Skincare Set
197,370,8,0.015,0.0144,0.0011,5.08,Meadow UltraLight Coffee Beans 1kg,Verve Compact Keyboard 61-Key
99,242,9,0.014,0.0175,0.00124,5.05,Roverly Classic Smart Plug,Verve Classic Paint Sprayer
53,378,6,0.0132,0.0124,0.00083,5.05,Milbrook Everyday Sneakers,Basecamp Deluxe Keyboard 61-Key
63,140,7,0.0132,0.0144,0.00096,5.05,Pallet HeavyDuty Cordless Drill,Milbrook EcoFriendly Slow Cooker
45,79,7,0.0138,0.0139,0.00096,5.04,Halcyon Portable Packing Cubes,Fjord Pro Glue Gun Kit
46,244,8,0.0151,0.0144,0.0011,5.03,Halcyon Smart Gaming Chair,Orin Smart Sewing Kit
168,216,7,0.0149,0.0129,0.00096,5.01,Trailhead Premium Winter Coat,Trailhead Wireless Bookshelf
120,357,7,0.0162,0.0118,0.00096,5.01,Vireo EcoFriendly Jump Starter,Fjord Essential Ring Light
218,219,7,0.0131,0.0147,0.00096,5.01,Alto EcoFriendly Electric Toothbrush,Fjord Everyday Nappy Bag
50,202,6,0.0135,0.0122,0.00083,5.0,Meadow Advanced Gaming Chair,Orin Signature Humidifier
111,183,7,0.0135,0.0143,0.00096,4.99,Basecamp UltraLight Sandals,Verve Pro Craft Storage Box
146,154,6,0.0125,0.0132,0.00083,4.99,Roverly Pro Stroller,Trailhead Portable Charm Bracelet
78,270,7,0.0121,0.016,0.00096,4.98,Kestrel Classic Laptop Stand,Kestrel EcoFriendly Microphone Kit
113,187,7,0.0129,0.015,0.00096,4.97,Wrenfield Premium Shaver,Vireo UltraLight Resistance Bands
31,205,8,0.0158,0.014,0.0011,4.96,Halcyon Pro Ergonomic Mouse,Verve Advanced Label Printer
135,188,8,0.0129,0.0172,0.0011,4.95,Pallet Pro Webcam,Cinder Advanced Microwave
95,327,8,0.0151,0.0147,0.0011,4.94,Roverly EcoFriendly Nursery Lamp,Verve Signature Puzzle 1000pc
10,233,8,0.0158,0.0142,0.0011,4.91,Fjord UltraLight Water Bottle,Meadow Deluxe Cotton T-Shirt
112,212,6,0.0127,0.0133,0.00083,4.89,Meadow UltraLight Dash Cam,Pallet EcoFriendly Analog Watch
101,147,7,0.014,0.014,0.00096,4.89,Wrenfield Pro Chew Toy Pack,Lumen Classic Glue Gun Kit
193,203,6,0.0129,0.0131,0.00083,4.88,Fjord Premium Dog Bed,Meadow Smart Smart Watch
51,117,7,0.0165,0.012,0.00096,4.87,Alto Deluxe Sketchbook,Vireo Classic Cat Tree
95,185,7,0.0151,0.0131,0.00096,4.87,Roverly EcoFriendly Nursery Lamp,Roverly HeavyDuty Baby Monitor
108,220,6,0.0133,0.0128,0.00083,4.83,Lumen Deluxe BBQ Grill,Vireo Essential Gaming Chair
185,337,7,0.0131,0.0153,0.00096,4.83,Roverly HeavyDuty Baby Monitor,Halcyon Advanced Blender
5,209,6,0.0133,0.0128,0.00083,4.83,Milbrook Premium Action Camera,Trailhead Signature Building Blocks Set
9,301,8,0.0142,0.0161,0.0011,4.83,Pallet Wireless Solar Lights,Sundial Deluxe Standing Desk
6,40,7,0.0129,0.0154,0.00096,4.83,Fjord Premium Carry-On Suitcase,Kestrel UltraLight Cordless Drill
168,394,7,0.0149,0.0135,0.00096,4.81,Trailhead Premium Winter Coat,Cinder Smart Snack Box
18,49,8,0.015,0.0153,0.0011,4.81,Trailhead Everyday Watch Band,Orin Premium RC Car
214,251,8,0.0129,0.0177,0.0011,4.8,Orin Compact Planner 2026,Meadow Portable Winter Coat
66,117,7,0.0168,0.012,0.00096,4.79,Lumen EcoFriendly Phone Mount,Vireo Classic Cat Tree
303,332,8,0.0182,0.0127,0.0011,4.79,Orin EcoFriendly Controller,Orin Everyday High Chair
21,408,8,0.0161,0.0143,0.0011,4.78,Verve Pro Packing Cubes,Alto Signature Power Bank
196,279,7,0.0154,0.0131,0.00096,4.78,Verve Everyday Electric Toothbrush,Vireo Classic Analog Watch
311,368,8,0.0147,0.0157,0.0011,4.77,Basecamp Portable Nappy Bag,Pallet Deluxe Paint Set
124,176,6,0.0121,0.0143,0.00083,4.77,Basecamp Portable Tea Sampler,Cinder Signature Camping Tent
111,313,7,0.0135,0.015,0.00096,4.76,Basecamp UltraLight Sandals,Halcyon Essential Dog Bed
345,495,6,0.0117,0.0149,0.00083,4.75,Sundial EcoFriendly Paint Sprayer,Kestrel UltraLight Running Jacket
194,332,6,0.0138,0.0127,0.00083,4.74,Trailhead HeavyDuty Ukulele,Orin Everyday High Chair
29,306,7,0.0155,0.0131,0.00096,4.74,Meadow Compact Label Printer,Halcyon Pro Puzzle Book
21,24,8,0.0161,0.0144,0.0011,4.73,Verve Pro Packing Cubes,Trailhead UltraLight Ukulele
86,170,7,0.0133,0.0153,0.00096,4.73,Trailhead EcoFriendly Electric Toothbrush,Roverly Signature Cordless Drill
111,214,6,0.0135,0.0129,0.00083,4.73,Basecamp UltraLight Sandals,Orin Compact Planner 2026
15,216,5,0.0113,0.0129,0.00069,4.72,Verve Advanced RC Car,Trailhead Wireless Bookshelf
110,406,7,0.0147,0.0139,0.00096,4.71,Sundial Premium Nursery Lamp,Cinder Advanced Storage Ottoman
135,266,7,0.0129,0.0158,0.00096,4.71,Pallet Pro Webcam,Vireo Smart Slow Cooker
15,71,6,0.0113,0.0155,0.00083,4.71,Verve Advanced RC Car,Kestrel Classic Puzzle 1000pc
37,94,7,0.0142,0.0144,0.00096,4.7,Halcyon Advanced Puzzle Book,Milbrook HeavyDuty Stroller
265,291,6,0.0142,0.0124,0.00083,4.7,Fjord Everyday Hiking Boots,Wrenfield Advanced Action Camera
137,272,7,0.0142,0.0144,0.00096,4.7,Milbrook Compact Nursery Lamp,Fjord Portable Patio Heater
69,209,6,0.0138,0.0128,0.00083,4.69,Halcyon Portable Kids Watch,Trailhead Signature Building Blocks Set
100,187,8,0.0157,0.015,0.0011,4.68,Trailhead Signature Ergonomic Mouse,Vireo UltraLight Resistance Bands
185,394,6,0.0131,0.0135,0.00083,4.68,Roverly HeavyDuty Baby Monitor,Cinder Smart Snack Box
72,116,7,0.0139,0.0149,0.00096,4.66,Basecamp Signature Rice Cooker,Pallet Everyday Kettle
183,290,7,0.0143,0.0144,0.00096,4.66,Verve Pro Craft Storage Box,Verve HeavyDuty Gaming Chair
34,202,5,0.0121,0.0122,0.00069,4.64,Meadow Advanced Sewing Kit,Orin Signature Humidifier
121,179,8,0.0158,0.015,0.0011,4.64,Roverly Compact Ring Light,Sundial Portable Drum Pad
93,437,7,0.0154,0.0135,0.00096,4.64,Cinder Deluxe Stud Earrings,Alto Essential Skincare Set
110,181,6,0.0147,0.0121,0.00083,4.63,Sundial Premium Nursery Lamp,Pallet Wireless Chew Toy Pack
163,183,7,0.0146,0.0143,0.00096,4.62,Milbrook Classic Notebook Pack,Verve Pro Craft Storage Box
66,92,9,0.0168,0.016,0.00124,4.62,Lumen EcoFriendly Phone Mount,Milbrook Deluxe Winter Coat
116,255,7,0.0149,0.014,0.00096,4.62,Pallet Everyday Kettle,Halcyon EcoFriendly Skincare Set
31,189,7,0.0158,0.0132,0.00096,4.61,Halcyon Pro Ergonomic Mouse,Kestrel Essential Watch Band
158,299,7,0.0157,0.0133,0.00096,4.6,Halcyon Smart Toaster,Sundial Signature Sketchbook
111,212,6,0.0135,0.0133,0.00083,4.59,Basecamp UltraLight Sandals,Pallet EcoFriendly Analog Watch
27,199,6,0.016,0.0113,0.00083,4.59,Cinder Smart Stroller,Sundial Portable Kids Watch
15,319,6,0.0113,0.016,0.00083,4.59,Verve Advanced RC Car,Roverly Deluxe Phone Mount
181,264,6,0.0121,0.0149,0.00083,4.59,Pallet Wireless Chew Toy Pack,Basecamp Smart Automatic Feeder
6,60,6,0.0129,0.0139,0.00083,4.59,Fjord Premium Carry-On Suitcase,Lumen Smart Bed Frame
147,182,7,0.014,0.015,0.00096,4.58,Lumen Classic Glue Gun Kit,Vireo Deluxe Coffee Beans 1kg
1,123,7,0.0125,0.0168,0.00096,4.58,Milbrook Deluxe Coffee Beans 1kg,Lumen HeavyDuty Drum Pad
41,329,7,0.014,0.015,0.00096,4.58,Milbrook Compact Sketchbook,Milbrook EcoFriendly Notebook Pack
153,269,8,0.0165,0.0146,0.0011,4.57,Trailhead Pro Microwave,Orin EcoFriendly First Aid Kit
107,144,8,0.0146,0.0165,0.0011,4.57,Cinder Essential Bed Frame,Meadow Advanced Plush Toy
208,220,7,0.0165,0.0128,0.00096,4.56,Northline HeavyDuty Nursery Lamp,Vireo Essential Gaming Chair
8,12,6,0.0127,0.0143,0.00083,4.56,Lumen Advanced Blender,Alto Portable Laptop Stand
96,121,7,0.0133,0.0158,0.00096,4.56,Roverly Advanced Nursery Lamp,Roverly Compact Ring Light
31,396,7,0.0158,0.0133,0.00096,4.56,Halcyon Pro Ergonomic Mouse,Verve Deluxe Microwave
62,82,9,0.0176,0.0154,0.00124,4.56,Northline Portable Bookshelf,Basecamp Deluxe Skincare Set
58,108,7,0.0158,0.0133,0.00096,4.56,Verve Advanced Sneakers,Lumen Deluxe BBQ Grill
13,41,6,0.0129,0.014,0.00083,4.55,Vireo Signature Travel Backpack,Milbrook Compact Sketchbook
18,78,6,0.015,0.0121,0.00083,4.55,Trailhead Everyday Watch Band,Kestrel Classic Laptop Stand
130,185,6,0.0139,0.0131,0.00083,4.55,Fjord Deluxe Packing Cubes,Roverly HeavyDuty Baby Monitor
235,331,6,0.0129,0.014,0.00083,4.55,Pallet HeavyDuty Journal,Meadow Portable Glue Gun Kit
4,146,7,0.0169,0.0125,0.00096,4.55,Cinder EcoFriendly BBQ Grill,Roverly Pro Stroller
157,489,8,0.0157,0.0154,0.0011,4.55,Cinder Advanced Chew Toy Pack,Sundial Compact Olive Oil
154,278,6,0.0132,0.0138,0.00083,4.54,Trailhead Portable Charm Bracelet,Sundial Everyday Automatic Feeder
286,345,6,0.0155,0.0117,0.00083,4.54,Basecamp Premium Toiletry Bag,Sundial EcoFriendly Paint Sprayer
