column_name,description
date,Observation date
inverter_id,Unique inverter identifier
manufacturer,Inverter manufacturer
climate_zone,Synthetic site climate classification
rated_capacity_kw,Rated inverter capacity in kW
installation_quality_score,Synthetic installation quality score
maintenance_quality_score,Synthetic maintenance quality score
age_months,Age of inverter in months
ambient_temperature_c,Ambient temperature in Celsius
humidity_pct,Humidity percentage
dust_soiling_index,Synthetic dust/soiling severity from 0 to 1
uv_exposure_index,Daily UV exposure index
cumulative_uv_exposure,Cumulative UV exposure
operating_hours_today,Operating hours for the day
cumulative_operating_hours,Lifetime operating hours
cumulative_energy_throughput_mwh,Lifetime energy throughput in MWh
efficiency_pct,Efficiency percentage
reactive_power_capability,Reactive power capability score
internal_temperature_c,Internal inverter temperature
voltage_ripple,Voltage ripple indicator
current_harmonic_distortion_pct,THD percentage
insulation_resistance_mohm,Insulation resistance in megaohms
capacitor_degradation_indicator,Synthetic capacitor degradation indicator 0-1
fan_speed_rpm,Cooling fan speed in RPM
restart_count_today,Restart events today
error_code_count_today,Error code count today
thermal_cycling_count_today,Thermal cycle count today
overload_events_today,Overload events today
failure_within_7d,Binary label: failure occurs within 7 days
failure_within_30d,Binary label: failure occurs within 30 days
failure_within_90d,Binary label: failure occurs within 90 days
rul_days,Remaining useful life in days for failing assets; blank for censored assets
failed_today,Binary label: failed on this date
is_censored,1 if asset survives full observation window
efficiency_7d_mean,7-day rolling mean of efficiency
efficiency_30d_mean,30-day rolling mean of efficiency
temperature_7d_mean,7-day rolling mean of internal temperature
temperature_30d_mean,30-day rolling mean of internal temperature
efficiency_decline_7d,Current efficiency minus 7-day mean
temp_stress_index,Internal temperature above 40C
restart_7d_sum,7-day rolling restart total
errors_7d_sum,7-day rolling error code total
