ProductKey,ProductName,ASIN,Brand,CategoryKey,SubCategory,UnitCost,ListPrice,LaunchDate,Status,VendorKey
1,Milbrook Deluxe Coffee Beans 1kg,B072671672,Milbrook,6,Coffee Beans 1kg,83.35,128.02,2023-07-04,Active,55
2,Roverly UltraLight LED Work Light,B038088632,Roverly,15,LED Work Light,74.22,108.79,2019-07-21,Active,35
3,Milbrook Smart Tape Measure,B090535969,Milbrook,15,Tape Measure,166.44,326.03,2020-04-19,Discontinued,128
4,Cinder EcoFriendly BBQ Grill,B049785651,Cinder,19,BBQ Grill,164.64,279.54,2019-01-25,Active,88
5,Milbrook Premium Action Camera,B075170480,Milbrook,23,Action Camera,115.28,163.2,2023-02-01,Active,84
6,Fjord Premium Carry-On Suitcase,B098213938,Fjord,20,Carry-On Suitcase,92.39,195.36,2021-09-16,Active,62
7,Halcyon Premium Memory Card 128GB,B064952704,Halcyon,23,Memory Card 128GB,70.48,169.43,2024-08-27,Active,113
8,Lumen Advanced Blender,B047003110,Lumen,2,Blender,138.7,211.32,2019-02-24,Active,10
9,Pallet Wireless Solar Lights,B021484508,Pallet,19,Solar Lights,96.68,228.25,2019-02-24,Active,57
10,Fjord UltraLight Water Bottle,B034444321,Fjord,5,Water Bottle,22.32,52.67,2022-07-11,Active,88
11,Basecamp Pro Olive Oil,B065842822,Basecamp,6,Olive Oil,28.83,54.42,2021-04-02,Active,85
12,Alto Portable Laptop Stand,B031232430,Alto,11,Laptop Stand,117.15,262.97,2024-04-04,Active,11
13,Vireo Signature Travel Backpack,B016193956,Vireo,20,Travel Backpack,67.9,97.85,2023-04-05,Active,137
14,Cinder Essential Standing Desk,B074910615,Cinder,9,Standing Desk,42.63,109.54,2022-10-19,Active,120
15,Verve Advanced RC Car,B054599847,Verve,4,RC Car,89.32,179.98,2020-06-04,Active,25
16,Milbrook Deluxe Controller,B076268268,Milbrook,17,Controller,78.22,121.92,2024-09-07,Active,37
17,Wrenfield Deluxe RC Car,B030080673,Wrenfield,4,RC Car,97.22,231.2,2019-02-10,Active,122
18,Trailhead Everyday Watch Band,B067701082,Trailhead,21,Watch Band,28.64,49.16,2020-10-07,Active,12
19,Meadow Smart Smart Plug,B091250937,Meadow,1,Smart Plug,104.9,252.36,2020-12-02,Active,130
20,Milbrook Deluxe Mouse Pad XL,B034694812,Milbrook,17,Mouse Pad XL,36.45,54.98,2022-10-26,Active,40
21,Verve Pro Packing Cubes,B041354977,Verve,20,Packing Cubes,130.99,279.33,2022-08-26,Active,150
22,Northline UltraLight Cookware Set,B096654442,Northline,2,Cookware Set,51.5,105.46,2023-10-29,Active,109
